1,Anna Jensen,2010-04-15T00:00,Junior,Competition,14,101,22334455,Peter Jensen
2,Emil Sørensen,2008-09-23T00:00,Junior,Recreational,16,102,33445566,Lene Sørensen
3,Frederik Hansen,2005-12-01T00:00,Senior,Competition,19,201,0,
4,Sofie Madsen,2012-06-10T00:00,Junior,Recreational,12,103,44556677,Henrik Madsen
5,Mads Petersen,2004-07-22T00:00,Senior,Competition,20,202,0,
6,Ida Thomsen,2011-02-18T00:00,Junior,Recreational,13,104,55667788,Lars Thomsen
7,Lukas Kristensen,2009-11-05T00:00,Junior,Competition,15,105,66778899,Marianne Kristensen
8,Emma Olesen,2013-08-30T00:00,Junior,Recreational,11,106,77889900,Anders Olesen
9,Victor Mortensen,2006-03-12T00:00,Senior,Competition,18,203,0,
10,Clara Rasmussen,2007-05-27T00:00,Junior,Competition,17,107,88990011,Mette Rasmussen
